,ngram,count
4630,my mouth now,3
4613,loud settle down!,3
4611,crying out loud,3
4632,now i just,3
4609,[chorus] for crying,3
4575,over the place,3
4576,the place [pre-chorus,3
694,no and love,3
693,yeah? no and,3
681,[chorus] and love,3
4587,bodies avoiding me,3
4588,avoiding me and,3
4597,i guess i'll,3
4598,guess i'll never,3
4599,i'll never learn,3
4600,never learn cause,3
4601,learn cause i,3
4602,cause i stay,3
4603,i stay another,3
4604,stay another hour,3
4605,another hour or,3
4606,hour or two,3
4607,or two [chorus],3
4608,two [chorus] for,3
4631,mouth now i,3
4633,i just stop,3
4565,don't seem to,3
2889,we're so intelligent,3
2891,intelligent she's american,3
5259,just can't move,3
5258,she just can't,3
5257,but she just,3
5256,moving but she,3
294,i just can't,3
223,you are mine,3
8852,won't you give?,3
3168,i told you,3
4930,[chorus] and i,3
2995,are you feeling,3
3157,and if i,3
3733,it now you're,3
71,"i said ""i",3
5010,she lays down,3
56,in and i,3
40,"she said ""i've",3
2250,[chorus] loving someone,3
7,cause i know,3
2890,so intelligent she's,3
2888,and we're so,3
4634,just stop myself,3
8679,has failed us,3
4635,stop myself around,3
4636,myself around you,3
4638,[verse 2] a,3
535,way he talks,3
534,the way he,3
523,so? [verse 1],3
521,so? why do,3
520,talk so? why,3
512,[chorus] why do,3
2818,oh what a,3
2819,what a let,3
2820,a let down,3
3269,and if you,3
2846,love with the,3
2878,[chorus] if she,3
4759,[chorus] it's just,3
4770,heart out? it's,3
4771,out? it's just,3
8678,modernity has failed,3
4566,seem to be,3
5268,[chorus] because she,3
6823,no yeah we're,3
3315,go please don't,3
5464,and you're the,3
5471,on in my,3
5463,[chorus] and you're,3
3317,don't go turn,3
3316,please don't go,3
6831,to toe we've,3
6829,from head to,3
6828,black from head,3
6827,in black from,3
5478,a second time,3
5476,my life a,3
5475,over my life,3
6818,oh we go,3
6819,nobody knows with,3
6820,knows with guns,3
5472,my mind taking,3
5477,life a second,3
5473,mind taking over,3
6824,yeah we're dressed,3
3312,light off before,3
6822,it no yeah,3
3314,you go please,3
5468,thing that's going,3
3313,off before you,3
5470,going on in,3
5466,the only thing,3
5469,that's going on,3
5465,you're the only,3
5474,taking over my,3
6817,[chorus] oh we,3
5467,only thing that's,3
1572,up in the,2
7835,leave it [chorus],2
5175,it [verse 1],2
213,himself a wife,2
7862,not mine [verse,2
214,a wife but,2
215,wife but i'm,2
3188,there's no use,2
7836,[chorus] i didn't,2
8841,so just give,2
211,and find himself,2
212,find himself a,2
3187,help there's no,2
210,down and find,2
209,settle down and,2
208,should settle down,2
207,he should settle,2
206,life he should,2
205,man's life he,2
204,young man's life,2
2103,that i should,2
3189,no use singing,2
216,but i'm just,2
218,just fine 'cause,2
217,i'm just fine,2
8845,a try won't,2
3180,i'm broken and,2
1553,you just sit,2
3181,broken and bleeding,2
8842,just give yourself,2
8844,yourself a try,2
3182,and bleeding and,2
6641,a lot of,2
2970,you think you've,2
203,a young man's,2
8846,try won't you,2
3186,for help there's,2
225,mine [verse 1],2
224,are mine [verse,2
8354,of dying it's,2
222,that you are,2
3183,bleeding and begging,2
3184,and begging for,2
219,fine 'cause i,2
8840,[chorus] so just,2
3185,begging for help,2
4452,you lately you,2
5750,jokes you're going,2
4156,and all i,2
1643,in in the,2
198,there comes a,2
1623,in your mouth,2
4121,lies lies lies,2
2543,pain in the,2
2542,a pain in,2
2335,and i think,2
5998,they went to,2
3453,are and so,2
3454,and so am,2
3455,so am i,2
7773,down soft sound,2
7772,go down soft,2
1644,in the bar,2
4155,[chorus] and all,2
8853,you give? [verse,2
2526,[verse 1] she,2
6167,and then he,2
2350,the boys in,2
3179,and i'm broken,2
6292,don't call it,2
3178,want? and i'm,2
5981,and the internet,2
3177,you want? and,2
3479,of my friends,2
3619,[chorus] inside your,2
3176,what you want?,2
199,comes a time,2
6321,i know you're,2
200,a time in,2
5764,then be my,2
5741,'cause i get,2
5742,i get lonesome,2
5743,get lonesome sometimes,2
5744,lonesome sometimes [chorus],2
202,in a young,2
5747,save all the,2
5748,all the jokes,2
5749,the jokes you're,2
3191,singing a song,2
5751,you're going to,2
5752,going to make,2
5753,to make whilst,2
5754,make whilst i,2
5755,whilst i see,2
5756,i see how,2
5757,see how much,2
1604,to get out,2
5758,how much drink,2
5759,much drink i,2
201,time in a,2
5760,drink i can,2
1609,a reflection on,2
5761,i can take,2
5762,can take then,2
5763,take then be,2
3190,use singing a,2
2953,you're in love,2
3192,a song and,2
4854,in your head?,2
315,for cars is,2
314,music for cars,2
6950,his gun he's,2
2908,american and if,2
2909,and if she,2
2914,she's american [verse,2
6695,not scared [verse,2
4851,instead of living,2
4558,up her face,2
3417,living in a,2
4853,living in your,2
6959,'i'll give you,2
4858,always the same,2
5241,she's definitely got,2
8355,dying it's fine,2
1448,he's got a,2
6687,[hook] i'm not,2
6462,only brought 3,2
7340,[chorus] this must,2
7940,[chorus] is it,2
6962,one more time,2
6963,more time we'll,2
6964,time we'll give,2
4236,news it's not,2
4235,terrible news it's,2
7933,i feel like,2
2907,she's american and,2
5242,definitely got the,2
3193,song and i'm,2
5252,she's got two-tone,2
5260,can't move she's,2
8320,we know being,2
8321,know being young,2
8735,made it tell,2
2613,again [verse 2],2
