,ngram,count
1994,hall? and i say,1
1993,the hall? and i,1
1953,it's only been a,1
1951,ironic how it's only,1
1883,my car it's my,1
1922,and you're alive at,1
1920,[verse 2] and you're,1
1919,you [verse 2] and,1
1918,than you [verse 2],1
1917,more than you [verse,1
1904,you [chorus] yeah it,1
1903,friends you [chorus] yeah,1
1902,my friends you [chorus],1
1901,of my friends you,1
1900,all of my friends,1
1899,kissing all of my,1
1898,than kissing all of,1
1897,harder than kissing all,1
1896,try harder than kissing,1
1895,must try harder than,1
1894,you must try harder,1
1893,end you must try,1
1892,the end you must,1
1891,to the end you,1
1890,cry to the end,1
1889,i'll cry to the,1
1888,and i'll cry to,1
1887,party and i'll cry,1
1886,my party and i'll,1
1885,it's my party and,1
1884,car it's my party,1
1921,2] and you're alive,1
1923,you're alive at least,1
1950,so ironic how it's,1
1924,alive at least as,1
1949,it's so ironic how,1
1948,and it's so ironic,1
1947,car and it's so,1
1946,my car and it's,1
1945,to my car and,1
1944,back to my car,1
1943,we're back to my,1
1942,then we're back to,1
1941,and then we're back,1
1940,down and then we're,1
1939,me down and then,1
1938,beat me down and,1
1937,you beat me down,1
1936,i you beat me,1
1935,am i you beat,1
1934,so am i you,1
1933,you are and so,1
1932,tell you are and,1
1931,can tell you are,1
1930,i can tell you,1
1929,as i can tell,1
1928,far as i can,1
1927,as far as i,1
1926,least as far as,1
1925,at least as far,1
1760,mistakes my name i,1
1759,she mistakes my name,1
1758,mine she mistakes my,1
1582,the one and you,1
1580,that i'm the one,1
1579,pretend that i'm the,1
1578,clouds? pretend that i'm,1
1577,the clouds? pretend that,1
1576,in the clouds? pretend,1
1575,up in the clouds?,1
1574,me up in the,1
1573,take me up in,1
1572,to take me up,1
1571,want to take me,1
1570,you want to take,1
1569,don't you want to,1
1568,school don't you want,1
1567,to school don't you,1
1566,went to school don't,1
1565,ever went to school,1
1564,hardly ever went to,1
1563,you hardly ever went,1
1562,how you hardly ever,1
1561,and how you hardly,1
1560,yourself and how you,1
1559,killing yourself and how,1
1093,say bye even in,1
1557,sex and killing yourself,1
1556,about sex and killing,1
1581,i'm the one and,1
1583,one and you can,1
1554,just write about sex,1
1584,and you can show,1
1609,your ultimatum's a ridiculous,1
1608,about your ultimatum's a,1
1607,sleeping about your ultimatum's,1
1606,by sleeping about your,1
1605,it by sleeping about,1
1604,for it by sleeping,1
1603,up for it by,1
1602,making up for it,1
1601,he's making up for,1
1600,now he's making up,1
1599,out now he's making,1
1598,get out now he's,1
1597,to get out now,1
1596,had to get out,1
1595,we had to get,1
1594,so we had to,1
1593,marriage so we had,1
1592,talking marriage so we,1
1591,was talking marriage so,1
1590,she was talking marriage,1
1589,about she was talking,1
1588,me about she was,1
1587,show me about she,1
1586,can show me about,1
1585,you can show me,1
1555,write about sex and,1
1553,you just write about,1
1611,a ridiculous joke i'm,1
1524,in in the bar,1
1522,town pushing in in,1
1521,round town pushing in,1
1520,knocking round town pushing,1
1519,we're knocking round town,1
1518,11 we're knocking round,1
1517,to 11 we're knocking,1
1516,quarter to 11 we're,1
1515,it's quarter to 11,1
1514,are it's quarter to,1
1513,we are it's quarter,1
1512,here we are it's,1
1511,so here we are,1
1510,3] so here we,1
1509,[verse 3] so here,1
1508,alright [verse 3] so,1
1507,alright alright [verse 3],1
1506,you're alright yeah it's,1
1505,but you're alright yeah,1
1504,mouth but you're alright,1
1503,your mouth but you're,1
1502,in your mouth but,1
1501,zoot in your mouth,1
1500,a zoot in your,1
1499,and a zoot in,1
1498,spoon and a zoot,1
1523,pushing in in the,1
1525,in the bar you,1
1552,cool you just write,1
1526,the bar you can,1
1551,well cool you just,1
1550,you're well cool you,1
1549,think you're well cool,1
1548,you think you're well,1
1547,much? you think you're,1
1546,so much? you think,1
1545,it so much? you,1
1544,hate it so much?,1
1543,you hate it so,1
1542,if you hate it,1
1541,stay if you hate,1
1540,why stay if you,1
1539,and why stay if,1
1538,hour and why stay,1
1537,an hour and why,1
1536,of an hour and,1
1535,quarter of an hour,1
1534,a quarter of an,1
1533,it's a quarter of,1
1532,11 it's a quarter,1
1531,until 11 it's a,1
1530,cry until 11 it's,1
1529,can cry until 11,1
1528,you can cry until,1
1527,bar you can cry,1
1610,ultimatum's a ridiculous joke,1
1612,ridiculous joke i'm gonna,1
1757,not mine she mistakes,1
1726,2] bombs have run,1
1724,mine [verse 2] bombs,1
1723,not mine [verse 2],1
1722,you're not mine [verse,1
1694,it [chorus] i didn't,1
1693,leave it [chorus] i,1
1692,so leave it [chorus],1
1691,again so leave it,1
1690,it again so leave,1
1689,doing it again so,1
1688,not doing it again,1
1687,we're not doing it,1
1686,bed we're not doing,1
1685,to bed we're not,1
1684,go to bed we're,1
1683,and go to bed,1
1682,head and go to,1
1681,my head and go,1
1680,in my head and,1
1679,pill in my head,1
1678,another pill in my,1
1677,stick another pill in,1
1676,house stick another pill,1
1675,the house stick another,1
1674,drowns the house stick,1
1673,sun drowns the house,1
1725,[verse 2] bombs have,1
1727,bombs have run out,1
1671,the lounge sun drowns,1
1728,have run out call,1
1756,you're not mine she,1
1752,dreaming [chorus] i didn't,1
1751,keep dreaming [chorus] i,1
1750,again? keep dreaming [chorus],1
1749,it again? keep dreaming,1
1748,doing it again? keep,1
1747,we're doing it again?,1
1746,think we're doing it,1
1745,you think we're doing,1
1744,said you think we're,1
1743,she said you think,1
1742,""" she said you",1
1741,"head "" she said",1
1740,"her head "" she",1
1739,"giving her head """,1
1738,you giving her head,1
1737,hear you giving her,1
1736,could hear you giving,1
1735,"""i could hear you",1
1734,"town ""i could hear",1
1733,"the town ""i could",1
1732,"'round the town ""i",1
1731,call 'round the town,1
1730,out call 'round the,1
1729,run out call 'round,1
1672,lounge sun drowns the,1
1670,around the lounge sun,1
1613,joke i'm gonna pick,1
1641,in your hair go,1
1639,air breathing in your,1
1638,the air breathing in,1
1637,with the air breathing,1
1636,playing with the air,1
1635,lights playing with the,1
1634,car lights playing with,1
1633,midnight car lights playing,1
1632,sound midnight car lights,1
1631,soft sound midnight car,1
1630,down soft sound midnight,1
1628,alright go down soft,1
1627,alright alright go down,1
1626,it's alright alright go,1
1625,i'm alright yeah it's,1
1624,but i'm alright yeah,1
1623,smoke but i'm alright,1
1622,to smoke but i'm,1
1621,me to smoke but,1
1620,allows me to smoke,1
1619,that allows me to,1
1618,option that allows me,1
1617,that option that allows,1
1616,pick that option that,1
1615,gonna pick that option,1
1614,i'm gonna pick that,1
1640,breathing in your hair,1
1642,your hair go down,1
1669,twist around the lounge,1
1643,hair go down soft,1
1668,1] twist around the,1
1667,[verse 1] twist around,1
1666,nose [verse 1] twist,1
1665,your nose [verse 1],1
1664,through your nose [verse,1
1663,breathe through your nose,1
1662,you breathe through your,1
1661,so you breathe through,1
1660,mouth so you breathe,1
1659,your mouth so you,1
1658,up your mouth so,1
1657,taking up your mouth,1
1656,bones taking up your,1
1655,your bones taking up,1
1654,in your bones taking,1
1653,jump in your bones,1
1652,rather jump in your,1
1651,i'd rather jump in,1
1650,skin? i'd rather jump,1
1649,your skin? i'd rather,1
1648,into your skin? i'd,1
1647,step into your skin?,1
1646,sound step into your,1
1645,soft sound step into,1
1644,down soft sound step,1
1094,bye even in the,1
1011,you mind [verse 2],1
1092,to say bye even,1
381,and touched your leg,1
393,a time soon you,1
392,at a time soon,1
391,day at a time,1
390,one day at a,1
389,it one day at,1
388,take it one day,1
387,i'll take it one,1
386,again i'll take it,1
385,again again i'll take,1
384,leg again again i'll,1
383,your leg again again,1
382,touched your leg again,1
380,lines and touched your,1
1091,hard to say bye,1
379,the lines and touched,1
378,between the lines and,1
377,read between the lines,1
376,i read between the,1
375,"fine"" i read between",1
374,"it's fine"" i read",1
373,"no it's fine"" i",1
372,"""oh no it's fine""",1
371,"said ""oh no it's",1
370,"you said ""oh no",1
369,"again you said ""oh",1
368,coat again you said,1
394,time soon you will,1
395,soon you will be,1
396,you will be mine,1
397,will be mine oh,1
423,sitting down with me?,1
422,fancy sitting down with,1
421,you fancy sitting down,1
420,do you fancy sitting,1
419,alive do you fancy,1
418,so alive do you,1
417,look so alive do,1
416,you look so alive,1
415,eyes you look so,1
414,your eyes you look,1
413,in your eyes you,1
412,is in your eyes,1
411,smoke is in your,1
410,the smoke is in,1
