ID,StartDate,discrimination,internalized-homophobia,tests-six-months,never-heard-of-prep,self-esteem,,,,,,,,,,,,,,,,
850,21-Apr-2018 01:12:57,4.11,3.44,1,1,26,,,,,,,,,,,,,,,,
856,21-Apr-2018 04:23:12,4.22,3.44,1,1,26,,,,,,,,,,,,,,,,
871,19-Apr-2018 21:54:25,4.33,3.44,1,1,24,,,,,,,,,,,,,,,,
874,21-Apr-2018 12:45:15,4.22,3.44,1,0,22,,,,,,,,,,,,,,,,
902,20-Apr-2018 09:24:25,4.44,3.44,1,1,24,,,,,,,,,,,,,,,,
946,21-Apr-2018 03:05:43,4.11,3.44,1,1,27,,,,,,,,,,,,,,,,
955,21-Apr-2018 09:20:36,4.11,3.44,1,1,26,,,,,,,,,,,,,,,,
1017,21-Apr-2018 18:25:30,4,3.44,1,1,24,,,,,,,,,,,,,,,,
21,18-Apr-2018 10:00:37,4,3.33,0,1,25,,,,,,,,,,,,,,,,
22,18-Apr-2018 14:12:16,4.78,3.33,1,0,25,,,,,,,,,,,,,,,,
29,20-Apr-2018 16:20:23,3.44,3.33,0,0,27,,,,,,,,,,,,,,,,
30,20-Apr-2018 18:02:55,3.44,3.33,0,0,23,,,,,,,,,,,,,,,,
31,20-Apr-2018 14:08:01,3.44,3.33,0,0,32,,,,,,,,,,,,,,,,
32,20-Apr-2018 17:06:08,3.44,3.33,0,0,20,,,,,,,,,,,,,,,,
33,20-Apr-2018 16:02:25,3.44,3.33,0,0,30,,,,,,,,,,,,,,,,
34,20-Apr-2018 16:11:14,3.44,3.33,0,0,27,,,,,,,,,,,,,,,,
37,21-Apr-2018 21:11:35,3.11,3.33,0,0,25,,,,,,,,,,,,,,,,
39,21-Apr-2018 21:52:14,2.89,3.33,0,0,26,,,,,,,,,,,,,,,,
41,21-Apr-2018 20:35:27,3.44,3.33,0,0,21,,,,,,,,,,,,,,,,
42,21-Apr-2018 20:46:21,3.44,3.33,0,0,20,,,,,,,,,,,,,,,,
43,21-Apr-2018 20:53:44,3.44,3.33,0,0,22,,,,,,,,,,,,,,,,
44,21-Apr-2018 21:04:23,3.44,3.33,0,0,29,,,,,,,,,,,,,,,,
45,21-Apr-2018 21:13:01,3.44,3.33,0,0,22,,,,,,,,,,,,,,,,
46,20-Apr-2018 14:04:16,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
47,20-Apr-2018 14:20:51,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
48,20-Apr-2018 15:16:36,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
49,21-Apr-2018 06:07:58,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
50,21-Apr-2018 21:23:08,3.44,3.33,0,0,18,,,,,,,,,,,,,,,,
51,21-Apr-2018 21:33:25,3.44,3.33,0,0,22,,,,,,,,,,,,,,,,
52,21-Apr-2018 21:42:46,3.44,3.33,0,0,20,,,,,,,,,,,,,,,,
53,21-Apr-2018 21:53:04,3.44,3.33,0,0,24,,,,,,,,,,,,,,,,
54,20-Apr-2018 15:23:30,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
55,20-Apr-2018 15:30:36,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
56,20-Apr-2018 15:46:50,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
61,21-Apr-2018 04:41:16,3,3.33,0,0,28,,,,,,,,,,,,,,,,
63,21-Apr-2018 05:41:38,2.78,3.33,0,0,25,,,,,,,,,,,,,,,,
66,18-Apr-2018 21:39:44,4.11,3.33,1,1,23,,,,,,,,,,,,,,,,
90,20-Apr-2018 17:20:15,2.78,3.33,0,0,23,,,,,,,,,,,,,,,,
91,20-Apr-2018 17:39:10,2.89,3.33,0,0,27,,,,,,,,,,,,,,,,
92,20-Apr-2018 18:32:24,2.56,3.33,0,0,20,,,,,,,,,,,,,,,,
96,21-Apr-2018 20:36:53,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
97,21-Apr-2018 21:05:14,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
98,20-Apr-2018 16:14:57,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
99,21-Apr-2018 03:34:44,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
100,21-Apr-2018 05:57:11,3.44,3.33,0,0,28,,,,,,,,,,,,,,,,
101,21-Apr-2018 21:58:18,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
102,20-Apr-2018 17:11:02,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
103,21-Apr-2018 04:44:32,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
105,20-Apr-2018 16:48:35,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
106,21-Apr-2018 03:45:22,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
107,21-Apr-2018 04:33:33,3.11,3.33,0,0,22,,,,,,,,,,,,,,,,
108,21-Apr-2018 05:56:14,2.67,3.33,0,0,20,,,,,,,,,,,,,,,,
