OID,Country or Area,Year,Description,Magnitude,Value
13461...ZF...,GERMANY,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.4875
53461...ZF...,INDIA,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.13
17861...ZF...,IRELAND,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.13385
13661B..ZF...,ITALY,1957,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,7.27417
13661...ZF...,ITALY,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.45426
13861...ZF...,NETHERLANDS,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.58
19661...ZF...,NEW ZEALAND,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.82
14261...ZF...,NORWAY,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.57
56461...ZF...,PAKISTAN,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.2
18261...ZF...,PORTUGAL,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.05
19961...ZF...,SOUTH AFRICA,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.75
14461...ZF...,SWEDEN,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.3325
14661...ZF...,SWITZERLAND,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.64
11261A..ZF...,UNITED KINGDOM,1957,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,4.84
11261...ZF...,UNITED KINGDOM,1957,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,5.49
11161A..ZF...,UNITED STATES,1957,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,3.68583
11161...ZF...,UNITED STATES,1957,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,3.6475
19361A..ZF...,AUSTRALIA,1958,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,4.29
19361...ZF...,AUSTRALIA,1958,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,4.97
12461...ZF...,BELGIUM,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.28918
15661A..ZF...,CANADA,1958,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,3.46917
15661...ZF...,CANADA,1958,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,4.14917
12861A..ZF...,DENMARK,1958,MORTGAGE BOND YIELD,PERCENT PER ANNU,5.6
12861...ZF...,DENMARK,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.24
13261...ZF...,FRANCE,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.83528
13461...ZF...,GERMANY,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.78867
53461...ZF...,INDIA,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.17
17861...ZF...,IRELAND,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.1558
13661B..ZF...,ITALY,1958,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,6.19417
13661...ZF...,ITALY,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.45741
13861...ZF...,NETHERLANDS,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.31
19661...ZF...,NEW ZEALAND,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.95
14261...ZF...,NORWAY,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.76
56461...ZF...,PAKISTAN,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.2
18261...ZF...,PORTUGAL,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.03
19961...ZF...,SOUTH AFRICA,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.14583
14461...ZF...,SWEDEN,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.3325
14661...ZF...,SWITZERLAND,1958,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.19
11261A..ZF...,UNITED KINGDOM,1958,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,4.7
11261...ZF...,UNITED KINGDOM,1958,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,5.48
11161A..ZF...,UNITED STATES,1958,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,2.8375
11161...ZF...,UNITED STATES,1958,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,3.31583
19361A..ZF...,AUSTRALIA,1959,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,3.99
19361...ZF...,AUSTRALIA,1959,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,4.91
12461...ZF...,BELGIUM,1959,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.6648
15661A..ZF...,CANADA,1959,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,4.93833
15661...ZF...,CANADA,1959,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,5.075
12861A..ZF...,DENMARK,1959,MORTGAGE BOND YIELD,PERCENT PER ANNU,5.76
12861...ZF...,DENMARK,1959,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.32
13261...ZF...,FRANCE,1959,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.32054
13461...ZF...,GERMANY,1959,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.79033
53461...ZF...,INDIA,1959,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.05
